CCL5-RASL12
CD8A-CHST15
CD8A-GBGT1
CD8A-GEM
CD8A-LPAR1
CD8A-LYNX1
CD8A-PRR5L
CD8A-RAPGEF3
CD8A-SULF2
CXCL13-B3GNT5
CXCL13-CH25H
CXCL13-EPHX3
CXCL13-GEM
CXCL13-GNA15
CXCL13-LPAR1
CXCL13-THBD
CXCL9-LRRC4
IFNG-CCDC3
IFNG-CD302
IFNG-FKBP1B
IFNG-KCTD14
IFNG-LRRC4
IFNG-RFLNB
IFNG-TNF
TBX21-LRRC4
